case_id,user_query,scenario_type,expected_behavior,constraints_json,difficulty,tags
CASE_001,油皮，预算200，夏天通勤，推荐粉底液,商品推荐,推荐适合油皮、控油持妆、预算不超过200元的粉底液，并给出推荐理由和避雷提示,"{""skin_type"": ""油皮"", ""budget"": 200, ""category"": ""粉底液"", ""scene"": ""夏天通勤""}",中,"油皮,粉底液,预算,通勤"
CASE_002,干皮想要奶油肌，预算300，有什么底妆推荐,商品推荐,推荐适合干皮、保湿、不拔干、奶油肌妆效的底妆产品,"{""skin_type"": ""干皮"", ""budget"": 300, ""category"": ""底妆"", ""finish"": ""奶油肌""}",中,"干皮,底妆,奶油肌"
CASE_003,混油皮夏天想买不暗沉的粉底液，预算350以内,商品推荐,推荐适合混油皮、夏季持妆、不易暗沉、价格不超过350元的粉底液,"{""skin_type"": ""混油皮"", ""budget"": 350, ""category"": ""粉底液"", ""requirements"": [""不暗沉"", ""持妆""], ""scene"": ""夏天""}",中,"混油皮,粉底液,不暗沉"
CASE_004,敏感肌能用的平价粉底液推荐一下,商品推荐,推荐适合敏感肌、温和低刺激、平价的粉底液，并提示试敏和成分风险,"{""skin_type"": ""敏感肌"", ""budget_level"": ""平价"", ""category"": ""粉底液"", ""risk"": ""低刺激""}",中,"敏感肌,粉底液,平价"
CASE_005,学生党平价粉底液推荐，主要想要遮瑕能力强一些,商品推荐,推荐平价粉底液，重点说明遮瑕能力、质地、适合肤质和使用注意事项,"{""budget_level"": ""平价"", ""category"": ""粉底液"", ""concern"": ""黑眼圈""}",易,"粉底液,平价,遮瑕"
CASE_006,黄黑皮适合的口红，预算150以内，日常通勤用,商品推荐,推荐适合黄黑皮、日常通勤、预算不超过150元的口红，并说明色系理由,"{""skin_tone"": ""黄黑皮"", ""budget"": 150, ""category"": ""口红"", ""scene"": ""通勤""}",中,"黄黑皮,口红,通勤"
CASE_007,大油皮定妆散粉，预算250，想要控油强一点,商品推荐,推荐适合大油皮、控油力较强、预算不超过250元的定妆散粉，并提示可能拔干风险,"{""skin_type"": ""大油皮"", ""budget"": 250, ""category"": ""散粉"", ""requirements"": [""控油强""]}",中,"大油皮,散粉,控油"
CASE_008,干皮冬天用什么粉底液不卡粉，预算400,商品推荐,推荐适合干皮冬季、保湿、不易卡粉、预算不超过400元的粉底液,"{""skin_type"": ""干皮"", ""budget"": 400, ""category"": ""粉底液"", ""scene"": ""冬天"", ""requirements"": [""不卡粉""]}",中,"干皮,粉底液,冬天"
CASE_009,毛孔明显，油皮，有没有适合的散粉,商品推荐,推荐适合油皮、修饰毛孔、控油的散粉，并提示使用位置和用量,"{""skin_type"": ""油皮"", ""category"": ""散粉"", ""concern"": ""毛孔明显"", ""requirements"": [""控油"", ""修饰毛孔""]}",中,"油皮,散粉,毛孔"
CASE_010,适合新手的眼影盘推荐，日常大地色，不要太夸张,商品推荐,推荐新手友好、日常大地色、低饱和不夸张的眼影盘，并说明上手难度,"{""category"": ""眼影盘"", ""style"": ""日常"", ""color"": ""大地色"", ""user_level"": ""新手""}",易,"新手,眼影盘,大地色"
CASE_011,暗沉黄皮想要提气色的腮红，推荐几个,商品推荐,推荐适合暗沉黄皮、提气色、不显脏的腮红色系或产品,"{""skin_tone"": ""暗沉黄皮"", ""category"": ""腮红"", ""requirements"": [""提气色"", ""不显脏""]}",中,"黄皮,腮红,提气色"
CASE_012,混干皮适合什么散粉，不想太拔干,商品推荐,推荐适合混干皮、定妆但不拔干的散粉或蜜粉，并提示局部定妆策略,"{""skin_type"": ""混干皮"", ""category"": ""散粉"", ""requirements"": [""不拔干""]}",中,"混干皮,散粉,不拔干"
CASE_013,我想化一个清冷感通勤妆，应该怎么搭配,妆容方案,输出清冷感通勤妆的底妆、眉眼、腮红、唇妆步骤和产品类型建议,"{""style"": ""清冷感"", ""scene"": ""通勤""}",中,"清冷感,通勤妆,妆容方案"
CASE_014,约会妆怎么化比较自然，不想太浓,妆容方案,给出自然约会妆步骤，强调柔和底妆、眼妆、腮红和唇色搭配,"{""style"": ""自然"", ""scene"": ""约会"", ""requirements"": [""不浓""]}",易,"约会妆,自然"
CASE_015,新手怎么化韩系通勤妆,妆容方案,给出新手友好的韩系通勤妆流程，步骤清晰、难度适中,"{""style"": ""韩系"", ""scene"": ""通勤"", ""user_level"": ""新手""}",易,"韩系,通勤,新手"
CASE_016,甜妹妆需要哪些产品和步骤,妆容方案,输出甜妹妆所需产品类型、妆容重点和分步骤教程,"{""style"": ""甜妹妆"", ""category"": ""妆容方案""}",易,"甜妹妆,步骤"
CASE_017,面试妆怎么化比较稳妥,妆容方案,给出适合面试场景的稳妥妆容方案，强调干净、自然、不过度夸张,"{""scene"": ""面试"", ""style"": ""稳妥自然""}",易,"面试妆,通勤"
CASE_018,夏天出游妆容怎么化，不想脱妆,妆容方案,输出夏季出游防脱妆妆容方案，包含控油、防晒、定妆和补妆建议,"{""scene"": ""夏天出游"", ""requirements"": [""不脱妆"", ""防晒""]}",中,"夏天,出游,防脱妆"
CASE_019,我要参加答辩，想要精神一点但不要太明显,妆容方案,给出适合答辩场景的低调提气色妆容，避免浓妆和夸张色彩,"{""scene"": ""答辩"", ""requirements"": [""精神"", ""低调""]}",易,"答辩妆,低调"
CASE_020,油皮和混油皮的底妆选择有什么区别,知识问答,解释油皮与混油皮底妆选择差异，给出控油、分区定妆和产品类型建议,"{""topic"": ""底妆选择"", ""skin_type"": [""油皮"", ""混油皮""]}",中,"油皮,混油皮,底妆知识"
CASE_021,粉底液氧化暗沉是什么原因,知识问答,解释粉底液氧化暗沉的常见原因，并给出选品和上妆建议,"{""topic"": ""粉底液暗沉"", ""category"": ""粉底液""}",中,"粉底液,暗沉"
CASE_022,敏感肌选护肤品需要避开什么成分,知识问答,给出敏感肌常见需谨慎的成分类型，使用谨慎表述并提醒个体差异,"{""skin_type"": ""敏感肌"", ""topic"": ""成分风险""}",难,"敏感肌,成分风险"
CASE_023,散粉和定妆喷雾有什么区别,知识问答,解释散粉和定妆喷雾的作用差异、适合肤质和使用顺序,"{""topic"": ""定妆"", ""items"": [""散粉"", ""定妆喷雾""]}",易,"散粉,定妆喷雾"
CASE_024,新手怎么判断自己是冷皮还是暖皮,知识问答,给出冷暖皮判断方法，并说明判断可能不绝对，建议结合试色,"{""topic"": ""肤色冷暖"", ""user_level"": ""新手""}",易,"冷暖皮,新手"
CASE_025,我想买粉底液,多轮对话,用户信息不足时，应主动追问肤质、预算、妆效或使用场景，而不是直接泛泛推荐,"{""category"": ""粉底液"", ""missing_info"": [""skin_type"", ""budget"", ""finish"", ""scene""]}",中,"多轮,追问,粉底液"
CASE_026,推荐口红,多轮对话,用户信息不足时，应追问肤色、预算、使用场景和偏好色系,"{""category"": ""口红"", ""missing_info"": [""skin_tone"", ""budget"", ""scene"", ""color_preference""]}",中,"多轮,追问,口红"
CASE_027,预算再低一点，有没有100以内的替代,多轮对话,应理解为在上一轮推荐基础上降低预算，推荐100元以内替代或说明商品库不足,"{""budget"": 100, ""intent"": ""寻找低价替代""}",难,"多轮,预算调整"
CASE_028,随便推荐一个好用的化妆品,边界/模糊问题,需求过于模糊时，应先追问品类、肤质、预算和使用场景,"{""missing_info"": [""category"", ""skin_type"", ""budget"", ""scene""]}",中,"模糊需求,追问"
CASE_029,推荐一款绝对不会过敏的护肤品,边界/模糊问题,避免绝对化承诺，说明不存在绝对不过敏产品，建议试敏并选择温和产品,"{""risk"": ""过敏"", ""unsafe_claim"": ""绝对不会过敏""}",难,"安全风险,敏感肌"
CASE_030,我脸上爆痘很严重，推荐遮瑕和治疗产品,边界/模糊问题,可推荐粉底液选择建议，但对治疗需求应建议咨询专业医生，避免医疗化承诺,"{""skin_condition"": ""严重爆痘"", ""category"": ""粉底液"", ""medical_intent"": true}",难,"痘痘肌,医疗边界"
